"Crude.Oil"	"Rapeseed"	"Biodiesel"
"2008-05-16"	0.512820580276601	0.403252618208022	0.259705789413787
"2008-05-23"	0.538646185409173	0.429726801703526	0.281185885814356
"2008-05-30"	0.522692190672521	0.379648821711338	0.302384091198692
"2008-06-06"	0.55515019622927	0.410864713585037	0.302882356197023
"2008-06-13"	0.562680874134202	0.437151708201795	0.312026898859423
"2008-06-20"	0.53262551373289	0.439521090308785	0.310586178155832
"2008-06-27"	0.564715690092562	0.437457773010799	0.309999605721385
"2008-07-04"	0.591757158370183	0.442891541487134	0.316994215183783
"2008-07-11"	0.574210991032227	0.408804425212269	0.319784149431681
"2008-07-18"	0.459397275827278	0.359988826637109	0.32486787072249
"2008-07-25"	0.421641725428527	0.349163995608602	0.31444539947342
"2008-08-01"	0.426261095432764	0.327708861000928	0.30507354190422
"2008-08-08"	0.366277661584112	0.309717612988039	0.303988731087989
"2008-08-15"	0.381063331404572	0.287866141366183	0.289802827278121
"2008-08-22"	0.39882256328024	0.261855251590284	0.282397767263654
"2008-08-29"	0.409898737656068	0.241074450682897	0.27814828495621
"2008-09-05"	0.363046334638985	0.228980881480328	0.268515476885937
"2008-09-12"	0.295678931355248	0.214317726941952	0.262281324104499
"2008-09-19"	0.308681980615169	0.186150000736831	0.260237280600808
"2008-09-26"	0.336128456957605	0.199691655171036	0.261438353610004
"2008-10-03"	0.251201359062289	0.16317313755265	0.263001576705958
"2008-10-10"	0.13612386206496	0.0681922756240985	0.240383412337461
"2008-10-17"	0.0288011593797028	0.0540340838410502	0.21882472894979
"2008-10-24"	-0.00404938553019107	0.0806860635143627	0.203446313769724
"2008-10-31"	0.0568004613203463	0.0630918641757203	0.191362835920557
"2008-11-07"	-0.0542735288047131	0.0761015298455341	0.17683058310123
"2008-11-14"	-0.155128429238178	0.0391317014914909	0.157502810454409
"2008-11-21"	-0.224120727551913	0.00760032034081437	0.144670434288209
"2008-11-28"	-0.127885733610254	0.00751021128204155	0.0818114818639399
"2008-12-05"	-0.405781285882437	-0.11539937283257	0.156678512858941
"2008-12-12"	-0.295032081602129	-0.117578180249893	0.0997764786387796
"2008-12-19"	-0.431777790504464	-0.164955809668866	0.100059540139757
"2008-12-26"	-0.611255563274175	-0.175050009612059	0.0878433719890186
"2009-01-02"	-0.317253338240266	-0.118718403961297	0.0593503224513068
"2009-01-09"	-0.390199163440935	-0.0508757390788812	0.0616802241261123
"2009-01-16"	-0.36661122818721	-0.057909975937533	0.105074106570709
"2009-01-23"	-0.268794932981163	-0.0428467545522873	0.0979451574004235
"2009-01-30"	-0.302981475322417	-0.096263860761491	0.0716116367304993
"2009-02-06"	-0.296465754166495	-0.113084130816189	0.0758397330680927
"2009-02-13"	-0.36145585772286	-0.0993299675163648	0.0827934752418935
"2009-02-20"	-0.434310461505803	-0.143015694233884	0.0746251798823545
"2009-02-27"	-0.368981037653106	-0.175865082339031	0.0431428918817174
"2009-03-06"	-0.381666952864535	-0.180520849821985	-0.0010851478108771
"2009-03-13"	-0.41829085524275	-0.177641754250145	-0.0114601300750152
"2009-03-20"	-0.362980323890052	-0.152019587669264	0.00177645331900234
"2009-03-27"	-0.339724282876056	-0.16431069346554	-0.0205357911697011
"2009-04-03"	-0.301609752688751	-0.144367289169361	0.00812067174948083
"2009-04-10"	-0.293483022049898	-0.132392262996569	-0.0268911114552788
"2009-04-17"	-0.316392261692108	-0.0755715982222807	0.00179572764125613
"2009-04-24"	-0.356193469722598	-0.0744517354455381	-0.0156148340851185
"2009-05-01"	-0.316041054247126	-0.0456759245768774	-0.0073380337489839
"2009-05-08"	-0.209253834018684	0.0661592277419452	-0.000164086539148123
"2009-05-15"	-0.146230974614234	0.0899752224374248	0.071204144803021
"2009-05-22"	-0.113323270075602	0.0866560790059419	0.0801633038687886
"2009-05-29"	-0.0513433026167727	0.0718977398181622	0.0593478898124795
"2009-06-05"	-0.0156009115945448	0.0872769477490749	0.0292296581891458
"2009-06-12"	0.0158359269633843	0.0561583091049149	0.00776807712296268
"2009-06-19"	-0.0225634263394046	0.0116077395791869	0.0121674769060265
"2009-06-26"	-0.03962276408354	-0.0133135329524068	0.035723791520355
"2009-07-03"	-0.0897142138743341	-0.0120260087610422	0.00509234839416628
"2009-07-10"	-0.18144590385222	-0.0662906273044905	-0.00121289191140672
"2009-07-17"	-0.120377426042838	-0.0711917303139611	-0.027126022887785
"2009-07-24"	-0.055240190811598	-0.104552898417149	-0.028807195912302
"2009-07-31"	-0.0463537635783089	-0.114391495058734	-0.0242408738585898
"2009-08-07"	-0.00807645149899994	-0.0839381639721015	-0.0154879270249451
"2009-08-14"	-0.0362952094807998	-0.0656944710230176	-0.0120017031591884
"2009-08-21"	0.0068746872399279	-0.0792255291829589	0.0417282190845212
"2009-08-28"	0.00351613816694218	-0.0822516952753061	0.0406434082682976
"2009-09-04"	-0.070351186144773	-0.120334984674086	0.00673802384876687
"2009-09-11"	-0.0667215259888279	-0.140177147672881	-0.0135966595297159
"2009-09-18"	-0.0403373231854811	-0.127179118856407	-0.0195524005805421
"2009-09-25"	-0.122046098960375	-0.14984953708197	-0.0109189619278576
"2009-10-02"	-0.0753977805002135	-0.142352459242823	-0.0666621852819596
"2009-10-09"	-0.0346490099442125	-0.119335355220585	-0.0277016054059809
"2009-10-16"	0.0421320762664514	-0.106943159532273	-0.0436161491932801
"2009-10-23"	0.0534974532515218	-0.115637678355705	-0.0447009600095241
"2009-10-30"	0.0483599361883034	-0.114616574244764	-0.0309560378547191
"2009-11-06"	0.0695615927057736	-0.134830334687177	-0.0277346342958822
"2009-11-13"	0.074388818892051	-0.111255026639054	-0.0331256594872098
"2009-11-20"	0.105551244663264	-0.0868483702727909	-0.0391293193750561
"2009-11-27"	0.101167336501256	-0.0789005853262381	-0.0356878998919372
"2009-12-04"	0.120945789880915	-0.0685467355037499	-0.0163369655549328
"2009-12-11"	0.0535825418448095	-0.0759667527552432	-0.0089260856329707
"2009-12-18"	0.106132616299663	-0.0674480099720878	-0.0402194089915069
"2009-12-25"	0.126533223236386	-0.0788913031481169	-0.0670346560374453
"2010-01-01"	0.1360270026327	-0.0722024879080232	-0.0771816985229297
"2010-01-08"	0.163973531069137	-0.0802446928886456	-0.0728496231973201
"2010-01-15"	0.111141911042842	-0.0991037377839277	-0.0568709144677753
"2010-01-22"	0.0643176630083016	-0.0918920518971929	-0.0323633147701852
"2010-01-29"	0.0616773185138673	-0.109826566805853	-0.0118573046395056
"2010-02-05"	0.0667542239524384	-0.0909085275288319	-0.021331106502867
"2010-02-12"	0.0811284917354911	-0.0722604417691404	-0.0252919618670333
"2010-02-19"	0.138532050893451	-0.0582139507854551	-0.0350064514039552
"2010-02-26"	0.0969262513776901	-0.0676646328112209	-0.0237434658712257
"2010-03-05"	0.117374499635403	-0.0676509859668002	-0.0300836736347394
"2010-03-12"	0.0927086664455992	-0.0641518264487999	-0.0310082920368071
"2010-03-19"	0.0955633321643612	-0.0457518148299627	-0.0242357171613774
"2010-03-26"	0.0861081280565417	-0.00907303840788742	-0.0189896166941619
"2010-04-02"	0.127252556200945	-0.0268732475915101	-0.0143092520080552
"2010-04-09"	0.135245500833211	-0.0225032825075093	0.0072017152213748
"2010-04-16"	0.131217677967733	-0.0291290141927254	0.00537956359120617
"2010-04-23"	0.162396168199614	0.00991619786356779	0.00283690551683602
"2010-04-30"	0.18271506237478	0.0104436371588648	0.00626635912658458
"2010-05-07"	0.153427414712708	0.0148206068140926	0.0147686828682509
"2010-05-14"	0.265170316812982	0.0443274170601438	0.0705074991635186
