"Date"	"Crude.Oil"	"Rapeseed"	"Biodiesel"
"370"	2010-06-18	396.25803	537.520024803004	1090.68
"371"	2010-06-25	398.2078711	547.383532372926	1092.38
"372"	2010-07-02	362.1043617	540.750524651729	1089.53
"373"	2010-07-09	375.7532494	576.685494224954	1085.08
"374"	2010-07-16	368.8344584	605.272175319887	1100.23
"375"	2010-07-23	381.7285689	602.649792385166	1087.83
"376"	2010-07-30	383.7413081	610.819760410745	1086.93
"377"	2010-08-06	385.8798435	618.702622106352	1098.25
"378"	2010-08-13	371.8535672	622.08247163526	1099.1
"379"	2010-08-20	369.4634394	623.349593177198	1101
"380"	2010-08-27	381.4769765	624.894270911891	1099.55
"381"	2010-09-03	375.8161475	629.106789019068	1099.98
"382"	2010-09-10	388.3957675	636.161294574778	1107.18
"383"	2010-09-17	379.1497468	641.032704514665	1110.4
"384"	2010-09-24	370.0295223	641.168784126497	1117.13
"385"	2010-10-01	386.2572321	624.728500854628	1112.65
"386"	2010-10-08	382.9236328	641.466547343847	1118.73
"387"	2010-10-15	373.9292045	644.967697543622	1136.8
"388"	2010-10-22	372.7970387	643.253743657662	1129.48
"389"	2010-10-29	374.1178988	665.227715897418	1133.4
"390"	2010-11-05	395.629049	687.215493181831	1128.5
"391"	2010-11-12	396.0064376	704.146090054798	1159.7
"392"	2010-11-19	389.2763409	684.622876263445	1166.05
"393"	2010-11-26	408.4602614	708.333333333333	1183.8
"394"	2010-12-03	433.1792147	749.996370878985	1190.78
"395"	2010-12-10	433.4308071	792.273611230448	1183.33
"396"	2010-12-17	436.9531007	795.965276259666	1244.2
"397"	2010-12-24	451.9228485	827.871132879609	1253.48
"398"	2010-12-31	449.4069245	836.432612341803	1262.03
"399"	2011-01-07	460.0367034	852.807328178624	1266.25
"400"	2011-01-14	467.1441887	851.271570682882	1289.43
"401"	2011-01-21	450.7906827	863.474683674943	1304.95
"402"	2011-01-28	453.7468934	845.162005381554	1293.68
"403"	2011-02-04	460.7914806	846.821776258877	1277.68
"404"	2011-02-11	466.2007172	825.454355555544	1318.88
"405"	2011-02-18	470.6664823	795.36829136454	1289
"406"	2011-02-25	513.248496	782.941152603088	1302.13
"407"	2011-03-04	520.7333699	833.696827657799	1311.45
"408"	2011-03-11	511.9276359	771.915403521541	1342.95
"409"	2011-03-18	510.2293872	780.070198401646	1339.95
"410"	2011-03-25	521.9913319	821.402016948525	1378.38
"411"	2011-04-01	530.230983	813.100005116264	1357
"412"	2011-04-08	558.4093318	803.02706941578	1408.9
"413"	2011-04-15	546.6473871	777.277998598322	1422.58
"414"	2011-04-22	541.1123543	786.907808762896	1385
"415"	2011-04-29	539.2254113	755.375393383133	1404.1
"416"	2011-05-06	484.1266757	711.666666666667	1410
"417"	2011-05-13	512.619515	748.958323266727	1393.7
"418"	2011-05-20	505.8894183	793.415787958689	1386
"419"	2011-05-27	509.47461	838.070352747701	1370.7
"420"	2011-06-03	501.297857	793.990613241106	1372.6
"421"	2011-06-10	520.6704718	789.215671700956	1367.2
